Dept,Department,Owner,Program,Goal,KPI_CODE,Performance Measure,Description,Technical Description,Performance Pattern,Unit of Measure,FY 2011   Total Actual Data,FY 2012   Total Actual Data,FY 2013   June Actual Data,FY 2013   Total Actual Data,FY 2013   Total Target Data,FY 2013   Total Projected Data,FY 2014   Total Target Data,FY 2015   Total Target Data,FY 2013   Yr End Actual Explanation,FY 2013   Yr End Dept Comment,Major Service Area,Annual Performance Measure Report,City Survey Report,CAFR Report,Government Barometer Report,Mayor's Budget Book,Performance Appraisal Report
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",311 CUSTOMER SERVICE CENTER,Quality Assurance,KPI323665271330328,Quality assurance percentage score,"The quality assurance rating for 311 is determined by conducting observations of randomly selected calls into the call center by a quality manager and supervisors. The monitorings will cover all 8 key critical main elements: 1.) greeting, 2.) listening, 3.) speaking, 4.) call handling, 5.) assessment and issue solving, 6.) CRM procedural requirements, 7.) resource/application requirements, and 8.) closing. This metric was developed in July 2008 as a performance measure for 311.",Calculation: The number of quality assurance points earned by a CSR on a call divided by the total number of points possible. Source: The NICE recording application will be utilized to score a minimum of 5 calls per month per CSR. Frequency: Monthly,Above target is positive,Percent,0.97,0.9605,0.961,0.9613,0.92,0.95,0.92,0.92,Target exceeded through continuous training and coaching.,,F General Administration & Finance,Yes,No,No,No,Yes,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",311 CUSTOMER SERVICE CENTER,Service Level Percentage,KPI32381122604162,Percentage of calls answered in 60 seconds,The percentage of calls answered within 60 seconds versus the total number of calls received on a monthly basis.  This metric of answering 50% of calls in 60 seconds was developed in July 2008 as a performance measure for 311.  ,Calculation: The number of calls answered within 60 seconds divided the total number of calls received during the measurement interval. Data Source: Avaya�s Call Management System (CMS) and will be utilized to determine the number of calls answered within 60 seconds and the total number of calls received. Frequency: Monthly,Above target is positive,Percent,0.73,0.74,0.73,0.716,0.6,0.73,0.6,0.6,"Performance exceeded due to hiring off additional as needed staff and a decrease in call volumes, partially offset by an increase in handle time. ",,F General Administration & Finance,Yes,No,No,Yes,No,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",ANIMAL WELFARE,Decrease number of animals euthanized,ADM.AUA.01.11.11,Percentage of live animal releases,"As home of the ""No Kill"" movement, we came up with a formula that accurately measures the life saving successes of animal shelters. The ""Live Release Rate,” is the ratio of live animals impounded compared to live animals released. We separate dogs/cats/others/wildlife because many jurisdictions/animal shelters provide care, shelter or handle only dogs/cats. It is our mission to consider all animals that come through our door as a measure of success. The Live Release Rate is calculated by taking the total number of animals of any species impounded alive (exclusive of owners requesting euthanasia for sick or injured animal and those that die in kennels) and comparing what is adopted, redeemed back to owners, rescued or released back to nature, to the number we cannot save and euthanize. This measure has become the national standard for animal welfare organizations to monitor and compare life saving efforts. The national average for municipal animal control agencies is approximately 45%.","Collection Method: The data is collected by ""Chameleon,"" which is our in-house animal software program tracking all intakes and final disposition of animals. The documentation is located at our animal shelter facility at 1200 15th Street. Timing: Routinely available. ",Above target is positive,Percent,0.74,0.75,0.78,0.78,0.76,0.75,0.76,0.76,"Our staff and volunteer special efforts to improve  outreach to the community for adoptions as well as our partnership with Pet Food Express has helped to maintain our good live release record.  Our LRR includes all animals, including other companion pets, and wildlife in recent years, not just cats and dogs.  However, the number of dogs we take in has continued to rise even as the number of other animals (including cats) has decreased.  Dogs require more care and attention and we have made particular efforts at outreach for them.",,F General Administration & Finance,Yes,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",ANIMAL WELFARE,Decrease or maintain average field emergency response time,ADM.AUA.02.12.12,"Field service emergency response time, in minutes","Average field response time for emergencies involving sick, injured, dangerous and/or animals in distress throughout the City (time measured from when the call first comes in to the time our Animal Control Officer reaches the scene).  This is an important measure in order for us to meet our primary responsibility to protect the public. It is linked to historic measures and is directly related to staffing resources available to our Department.  This particular measure has been captured for many years and has improved from over 30 minutes to nearly 25.","Collection Method: The data is collected by ""Chameleon,"" which is our in-house animal management program that tracks all intakes and disposition of animals and activity calls.  We wrote an in-house program to capture calls we consider an emergency and the accompanying response time. The documentation is located at our animal shelter facility at 1200 15th Street. Timing:  Routinely available.",Below target is positive,General,19.5,22,21.25,21.25,23,23,23,23,"The Animal Control Division staff consistently make extra effort to get to calls that impact public safety and/or involving animals in distress.  With the staffing of as-needed employees, the officers were able to respond in a timely fashion.",,F General Administration & Finance,Yes,No,No,No,Yes,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",CONTRACT MONITORING,"Ensure that CCSF does not contract with vendors that discriminate (a) based on defined protected classes, or (b) in providing benefits to employees with spouses and employees with domestic partners.",HRC-12B-1,Total Number of EBO (12B) Compliant CCSF Vendors,This measure captures the number of vendors doing business with the City and County of San Francisco that are compliant with the Equal Benefits Ordinance.,Calculation: Sum of the number of EBO compliant CCSF vendors at a point in time. Data Source: Excel.,Above target is positive,General,0,16018,17257,17257,17000,16800,17200,17900, Actual numbers have remained consistent  over the life of equal benefits legislation.,,,No,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,pmadmin,CONTRACT MONITORING,Increase and ensure participation of local businesses through City contracting and purchasing.,KPI12151651486618,"Total Minimum Dollars Awarded to LBE, PUC-LBE, NPE, and SBA Certified Firms",,,Above target is positive,General,0,0,0,0,0,0,200000000,200000000,,,,No,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,pmadmin,CONTRACT MONITORING,Increase and ensure participation of local businesses through City contracting and purchasing.,KPI12150851474593,Total number of awarded active CCSF contracts monitored by CMD,This measure represents the total number of contracts monitored by the CMD. ,Calculation: Sum of the total number of awarded active CCSF contracts monitored by CMD at a point in time. ,Above target is positive,General,0,0,0,0,0,0,488,760,,,,No,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,pmadmin,CONTRACT MONITORING,Increase and ensure participation of local businesses through City contracting and purchasing.,KPI12150451458105,"Total Number of LBE, PUC-LBE, NPE, and SBA Certified Firms","This measure captures the total number of LBE, PUC-LBE, SBA and NPE firms that have been certified by the CMD.","Calculation: Sum of the total number of LBE, PUC-LBE, SBA and NPE Certified firms that have been certified at a point in time. Data Source: Excel, LBE Certification Database.",Above target is positive,General,0,0,0,0,0,0,1500,1525,,,,No,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",COUNTY CLERK SERVICES,Streamline delivery of County Clerk services,ADM.AME.01.7.7,Percentage of customers assisted within ten minutes from the time they are ready to be served,Percentage of customers assisted within 10 minutes from the time they are ready to be served (time from when forms are completed).,Calculation: Number of customers assisted within ten minutes divided by the total number of customers served. Data Source: Q-Matic.,Above target is positive,Percent,0.95,0.91,0.9565,0.9565,0.9,0.95,0.9,0.9,Made changes to more efficiently serve the Vital Records queue.,Continue to serve customers efficiently and effectively without delay.,F General Administration & Finance,Yes,No,No,No,Yes,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,ADM.XXX.01.47.47,# of employees for whom performance appraisals were scheduled,"New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.",Collection method:  Manager and employee develop a plan for the new fiscal year.  Performance Plan is scheduled for appraisal/review end of fiscal year.  Source: Performance Plan is filed with manager and Human Resources department.  Timing of Performance Appraisal is annual.,Above target is positive,General,168,48,316,316,400,454,400,537,"Although the formal performance planning process was minimal this year, ADM employee performance was exceptional especially given the changes in management, acquisition of new departments and priority City-wide projects.  Employees receive constant feedback with clear expectations and they are engaged in their work. ",,F General Administration & Finance,Yes,No,No,No,No,Yes
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,ADM.XXX.01.48.48,# of employees for whom scheduled performance appraisals were completed,"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted amd completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.","Collection method:  Manager and employee meet to discuss Performance Appraisal.  Manager submits Performance Appraisal to Human Resources department for input into database and file.  Source: Performance Plan is filed with manager and Human Resources department.  Timing of Performance Appraisal is annual, after fiscal year closing. ",Above target is positive,General,168,174,91,91,400,454,400,537,This is an estimate as of 8/12/13.  Actuals will be available later in September.,,F General Administration & Finance,Yes,No,No,No,No,Yes
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",DISABILITY ACCESS,Conduct required plan and site reviews in a timely manner,ADM.FAV.01.14.14,Percentage of requests for plan reviews fulfilled within twenty business days,Percentage of requests for review of construction plan documents fulfilled within 20 business days. ,Calculation: The number of requests for plan reviews fulfilled within twenty days divided by the total number of requests received for plan reviews during the reporting period. Data Source: Excel.,Above target is positive,Percent,0.9,0.95,0.92,0.92,0.85,0.85,0.85,0.85,Exceeded goals.,Placed priority on turn around. Many of the plans were for City projects.,F General Administration & Finance,Yes,No,No,No,Yes,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",DISABILITY ACCESS,Conduct required plan and site reviews in a timely manner,KPI1475308899139,Percentage of requests for site reviews fulfilled within seven business days,Percentage of requests for review of actual construction sites fulfilled within 7 business days. Site reviews are more time sensitive because they are part of the construction process.  ,Calculation: The total number of site requests fulfilled within seven days divided by the total number of requests for site reviews. Data Source: Excel.,Above target is positive,Percent,0.97,0.97,0.97,0.97,0.9,0.9,0.95,0.95,Exceeded goals.,Placed priority on turn around. Many of the inspections were for affordable housing.,,No,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",FLEET MANAGEMENT,Control citywide vehicle costs by reducing the number of vehicles assigned to departments,ADM.FFK.01.45.45,Number of vehicles assigned to departments,"Reduction in general purpose vehicles (light duty autos, pickup trucks and vans used for general passenger transportation, not operations, excluding emergency response vehicles) assigned to departments.  This measures the number of assigned vehicles.",Collection Method: Central Shops vehicle inventory. Timing:  Routinely available.,On target is positive,General,906,875,888,888,890,880,890,915,Per Dan Coleman 9/9/13: HACTO-mandated reductions have been balanced by MBO-approved adds to fleet due to increased work in some departments.,,F General Administration & Finance,Yes,No,No,No,Yes,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",FLEET MANAGEMENT,Control citywide vehicle costs by reducing the number of vehicles assigned to departments,ADM.FFJ.01.40.40,Percentage of survey respondents who rate satisfaction with Central Shops as above average or greater.,"Average customer satisfaction rating on a 5-point scale.  Survey to be developed and administered by City Administrator central office, covering all of the internal services functions of the department.  This survey will be conducted annually.",Collection Method: Online survey instrument to be developed. Timing:  Survey to be conducted annually in the 2nd quarter.  Data available within 30 days.,Above target is positive,Percent,,,,,,,,,,,F General Administration & Finance,Yes,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",FLEET MANAGEMENT,Transition the general purpose fleet to clean fuel technologies,ADM.FFK.02.46.46,Percentage of the general purpose fleet that is clean fuel,"Percentage of general purpose vehicles that are classified as clean fuel technology.  General purpose vehicles are light duty cars, vans, and pickups, not used for emergency response.",Collection Method: Central Shops vehicle inventory in automated system called MAPCON. Timing:  Routinely available.,Above target is positive,Percent,0.47,0.47,0.51,0.51,0.5,0.49,0.5,0.53,Per Dan Coleman 9/9/13: Stricter purchasing rules and greater availability and acceptance of clean-fuel vehicles have driven the percentage higher.,,F General Administration & Finance,Yes,No,No,No,Yes,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",GRANTS FOR THE ARTS,Promote San Francisco as a tourist destination by supporting the arts and cultural community,ADM.FEQ.01.23.23,Number of attendees at programs and events supported by GFTA funding,"Attendance at all programs and events supported by Grants for the Arts (GFTA) funding, including tourist promotion activities.  Grants for the Arts, established in 1961, is an internationally admired model of municipal funding and support of the arts and culture in San Francisco. Providing a stable, dependable base of support to the broadest spectrum of the City's arts community, GFTA fulfills its mission of  ""promoting the City by supporting the arts"" through the funding of nonprofit arts and cultural organizations which help to make San Francisco as a premier destination for regional, national and international visitors. ",Collection Method: Reports submitted by grantees and entered into a database by GFTA staff. Timing:  Data is submitted annually in grant applications and entered during the 6 month application review process. Reports can be generated in mid July. .,Above target is positive,General,9750000,9602611,9421838,9421838,9650000,9650000,9650000,9700000,"Per Valerie Tookes, 8/22/13 - GFTA experienced a fourth year of level annual revenue. This meant that, in most cases, CBO grant levels also continued to remain level for the majority of the 217 local nonprofit arts organizations funded in FY 13. GFTA’s goal is to be a steady, dependable source of funding. It is our hope that this commitment allows continuing grantees to program at previous year levels and reach a similar estimated audience level. Please note that this number also includes of the estimated number of visitors to the SFArts.org website, an Arts and Tourism website funded by GFTA and the distribution of the SF Arts Monthly print publication.",,F General Administration & Finance,Yes,No,No,No,Yes,No
ADM,ADMINISTRATIVE SERVICES,pmadmin,LABOR STANDARDS ENFORCEMENT,Implement and enforce Prevailing Wage requirements,KPI12229357818714,Back wages assessed for violation of prevailing wage requirements,Dollar value of back wages assessed during the fiscal year resulting from violations of prevailing wage requirements.,Calculation: Sum of back wages assessed for violation of prevailing wage requirements during the current reporting period. Data Source: Excel,Above target is positive,General,0,0,0,0,0,0,0,250000,,,,No,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,pmadmin,LABOR STANDARDS ENFORCEMENT,Implement and enforce San Francisco labor laws,KPI12146251334968,Percent of MWO claims resolved within one year of filing,Percentage of MWO claims resolved within one year of filing during the reporting period. ,Calculation: (MWO claims filed during the period 12 months prior to the reporting period and resolved within one year of filing) / (MWO claims filed 12 months prior to the reporting period). Data Source: Excel and Access Reporting frequency: Semi-annual report for the calendar year and fiscal year report for the end of year figure. ,Above target is positive,General,0,0,0,0,0,0,0,93,,,,No,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",MEDICAL EXAMINER,Complete cases and investigations in a timely manner,KPI146166402315321,Percent of toxicology exams completed within 90 calendar days of submission,The current goal is a standard set by the National Association of Medical Examiners (the Office of the Medical Examiner is accredited by NAME). Cases can be Medical Examiner cases (deaths) or tests of live persons (e.g. DUI). This parameter has the greatest effect on the turnaround time for death certificates.,"Calculation: The sum of toxicology exams completed within 90 days, divided by the total number of toxicology exams in the reporting period. Data Source: Access. ",Above target is positive,Percent,0.72,0.81,0.62,0.62,0.9,0.92,0.9,0.9,This performance is attributable the loss of one staff person and the re-assignment of Forensic Laboratory Division personnel’s time and efforts to tasks related to new accreditation requirements.,,,No,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",MEDICAL EXAMINER,Complete cases and investigations in a timely manner,ADM.ASG.01.8.8,Percentage of all notifications of families completed within 24 hours,"Notification of a family of a death requires a sequence of events to occur: investigation, identification and notification of families, all completed within 24 hours. The Investigative Section is made up of the Medical Examiner's Investigators and Administrator. Their responsibility is to go to the scenes, investigate deaths, and communicate with grieving families.","Calculation: Sum of investigations, identifications and notifications of families completed within 24 hours divided by the total number of investigations, identifications and notifications of families completed in the current reporting period. Data Source: Access.",Above target is positive,Percent,0.94,0.94,0.94,0.94,0.9,0.93,0.9,0.9,"The Investigative Division exceeded their target this fiscal year due to their dedication to purpose, commitment to service, and hard work.",,F General Administration & Finance,Yes,No,No,No,Yes,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",MEDICAL EXAMINER,Medical Examiner customer satisfaction,ADM.ASG.02.10.10,Percentage of survey respondents who rate satisfaction with Medical Examiner as above average or greater.,Percentage of survey respondents who rate satisfaction as above average or greater.,Collection Method: Online survey instrument to be developed. Timing:  Survey to be conducted annually in the 2nd quarter.,Above target is positive,Percent,,,,,,,,,,,F General Administration & Finance,Yes,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",PROCUREMENT SERVICES,Achieve cost savings and make the purchasing process more efficient,ADM.FCC.01.18.18,Average number of days to convert requisitions not requiring formal bidding into purchase orders,"Number of working days elapsed, from the day a requisition first reaches a Purchasing level approval box in the purchasing system, to the day the requisition is posted as a purchase order, for transactions not requiring Invitation to Bid process. The measure is an average of 90% of all transactions, excluding the slowest 10% because those transactions include rejected documents that would skew the average.","Calculation: The sum of the number of working days elapsed, from the day a requisition first reaches a Purchasing level approval box in the purchasing system, to the day the requisition is posted as a purchase order divided by the total number of requisitions during the reporting period. Data Source: Extracts run by Controller's staff from ADPICS. ",Below target is positive,General,3.4,4,6,6,3.8,6,3.8,7.5,Per Jaci Fong: We continue to experience slower turnaround times in the IT area.,,F General Administration & Finance,Yes,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",PROCUREMENT SERVICES,Achieve cost savings and make the purchasing process more efficient,ADM.FCC.01.17.17,Percentage of all purchases made through term contracts (excluding professional services),Spending is assumed to be the amount of ADPICS standard vouchers and direct vouchers with post dates within each fiscal year.,Calculation: The sum of total term contract spending divided by the total contract spending amount during the reporting period. Excludes professional services. Data Source: Extracts run by Controller's staff from ADPICS.,Above target is positive,Percent,0.38,0.49,0.5,0.5,0.69,0.4,0.4,0.5,The 2nd half of the year includes more vehicle and equipment purchases that are not necessarily reflected in term contracts.  ,,F General Administration & Finance,Yes,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",REAL ESTATE SERVICES,Keep rental rates for City tenants below market rates,ADM.FFI.03.35.35,Average occupancy rate in City-owned buildings managed by Real Estate,"Occupancy:  A department or third party is paying for the space. That might mean a space is under construction or is unoccupied, but it is under a department's or third party's control and they are making rental or work order payments (or capitalized interest payments are being received) for the space.",Collection Method: Manual records maintained by Real Estate. Timing:  Routinely available.,Below target is positive,Percent,1,0.998,0.99932,0.99932,0.95,0.99,0.95,0.95,"1200 sf/1,752,986 sf = vacancy of 0.068%, rounded to 100% occupancy",,F General Administration & Finance,No,No,No,No,Yes,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",REAL ESTATE SERVICES,Keep rental rates for City tenants below market rates,ADM.FFI.03.36.36,Average per sq ft cost of City-operated buildings compared to listing rates in Civic Center,"Costs of six City-owned buildings managed by the department, including 25 Van Ness, 30 Van Ness, One South Van Ness, 555 7th Street, 1660 Mission, and 1650 Mission, compared to Civic Center and South of Market area rents. ""Cost"" of city owned space is the per square foot rate charged to city dept, calculated as the combined total cost (debt service plus O&M) for all six bldgs, divided by the total sq. ft. of space.  ",Collection Method: Costs are directly from budget.  Area rents are from CB Richard Ellis company. Timing: Quarterly,Below target is positive,Percent,0.88,0.59,0.588,0.588,0.9,0.6,0.9,0.9,"CBRE Q1, 2013 average asking rate is $38.37/sf vs. $22.56/sf for City-operated buildings",,F General Administration & Finance,No,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",REAL ESTATE SERVICES,Keep rental rates for City tenants below market rates,ADM.FFI.03.38.38,Average per sq ft cost of office space lease portfolio compared to market rates,"Rental costs paid to lessors for City offices compared to market rates.  We beat the market on owned space, and on space we lease, which is what this metric measures.  By averaging the cost per sq. ft. of office space leased in Civic Center, and dividing by the market rate, we get this metric. The lower the percent, the better we are doing for compared to market. ",Collection Method: Lease records maintained by Real Estate staff. Timing:  Routinely available,Below target is positive,Percent,0.68,0.724,0.5184,0.5184,0.85,0.65,0.85,0.85,"Ave asking rate for market total Q2, 2013, per CBRE report, is $50.52/sf (latest available report), actual is $26.19/sf as of 6/2013",,F General Administration & Finance,No,No,No,No,No,No
