Dept,Department,Owner,Program,Goal,KPI_CODE,Performance.Measure,Description,Technical.Description,Performance.Pattern,Unit.of.Measure,FY.2012...Total.Actual.Data,FY.2013...Total.Actual.Data,FY.2014...June.Actual.Data,FY.2014...Total.Actual.Data,FY.2014...Total.Target.Data,FY.2014...Total.Projected.Data,FY.2015...Total.Target.Data,FY.2016...Total.Target.Data,FY.2014...Yr.End.Actual.Explanation,FY.2014...Yr.End.Dept.Comment,Major.Service.Area,Annual.Performance.Measure.Report,City.Survey.Report,CAFR.Report,Government.Barometer.Report,Mayor.s.Budget.Book,Performance.Appraisal.Report,met.goal,goal.percent
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",311 CUSTOMER SERVICE CENTER,Quality Assurance,KPI323665271330328,Quality assurance percentage score,"The quality assurance rating for 311 is determined by conducting observations of randomly selected calls into the call center by a quality manager and supervisors. The monitorings will cover all 8 key critical main elements: 1.) greeting, 2.) listening, 3.) speaking, 4.) call handling, 5.) assessment and issue solving, 6.) CRM procedural requirements, 7.) resource/application requirements, and 8.) closing. This metric was developed in July 2008 as a performance measure for 311.",Calculation: The number of quality assurance points earned by a CSR on a call divided by the total number of points possible. Source: The NICE recording application will be utilized to score a minimum of 5 calls per month per CSR. Frequency: Monthly,Above target is positive,Percent,0.9605,0.9613,0.9582,0.9571,0.92,0.95,0.92,0.92,On target. Continued focus on key aspects of customer service,,F General Administration & Finance,Yes,No,No,No,Yes,No,TRUE,4.03
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",311 CUSTOMER SERVICE CENTER,Service Level Percentage,KPI32381122604162,Percentage of calls answered in 60 seconds,The percentage of calls answered within 60 seconds versus the total number of calls received on a monthly basis.  This metric of answering 50% of calls in 60 seconds was developed in July 2008 as a performance measure for 311.  ,Calculation: The number of calls answered within 60 seconds divided the total number of calls received during the measurement interval. Data Source: Avaya�s Call Management System (CMS) and will be utilized to determine the number of calls answered within 60 seconds and the total number of calls received. Frequency: Monthly,Above target is positive,Percent,0.74,0.716,0.6238,0.6794,0.6,0.72,0.6,0.6,On target.  Decrease in performance due to high volume of long duration calls related to the Treasurer and Tax Collectors office. Hiring additional as need staff in August 2014. ,,F General Administration & Finance,Yes,No,No,Yes,No,No,TRUE,13.23
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",ANIMAL WELFARE,Decrease number of animals euthanized,ADM.AUA.01.11.11,Percentage of live animal releases,"As home of the ""No Kill"" movement, we came up with a formula that accurately measures the life saving successes of animal shelters. The ""Live Release Rate,” is the ratio of live animals impounded compared to live animals released. We separate dogs/cats/others/wildlife because many jurisdictions/animal shelters provide care, shelter or handle only dogs/cats. It is our mission to consider all animals that come through our door as a measure of success. The Live Release Rate is calculated by taking the total number of animals of any species impounded alive (exclusive of owners requesting euthanasia for sick or injured animal and those that die in kennels) and comparing what is adopted, redeemed back to owners, rescued or released back to nature, to the number we cannot save and euthanize. This measure has become the national standard for animal welfare organizations to monitor and compare life saving efforts. The national average for municipal animal control agencies is approximately 45%.","Collection Method: The data is collected by ""Chameleon,"" which is our in-house animal software program tracking all intakes and final disposition of animals. The documentation is located at our animal shelter facility at 1200 15th Street. Timing: Routinely available. ",Above target is positive,Percent,0.75,0.78,0.8,0.8,0.76,0.76,0.76,0.76, ,,F General Administration & Finance,Yes,No,No,No,No,No,TRUE,5.26
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",ANIMAL WELFARE,Decrease or maintain average field emergency response time,ADM.AUA.02.12.12,"Field service emergency response time, in minutes","Average field response time for emergencies involving sick, injured, dangerous and/or animals in distress throughout the City (time measured from when the call first comes in to the time our Animal Control Officer reaches the scene).  This is an important measure in order for us to meet our primary responsibility to protect the public. It is linked to historic measures and is directly related to staffing resources available to our Department.  This particular measure has been captured for many years and has improved from over 30 minutes to nearly 25.","Collection Method: The data is collected by ""Chameleon,"" which is our in-house animal management program that tracks all intakes and disposition of animals and activity calls.  We wrote an in-house program to capture calls we consider an emergency and the accompanying response time. The documentation is located at our animal shelter facility at 1200 15th Street. Timing:  Routinely available.",Below target is positive,General,22,21.25,20.62,20.62,23,23,23,23, ,,F General Administration & Finance,Yes,No,No,No,Yes,No,TRUE,10.35
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",CONTRACT MONITORING,"Ensure that CCSF does not contract with vendors that discriminate (a) based on defined protected classes, or (b) in providing benefits to employees with spouses and employees with domestic partners.",HRC-12B-1,Total Number of EBO (12B) Compliant CCSF Vendors,This measure captures the number of vendors doing business with the City and County of San Francisco that are compliant with the Equal Benefits Ordinance.,Calculation: Sum of the number of EBO compliant CCSF vendors at a point in time. Data Source: Excel.,Above target is positive,General,16018,17257,17780,17780,17200,17200,17900,18700, ,Achieved target.,,No,No,No,No,No,No,TRUE,3.37
ADM,ADMINISTRATIVE SERVICES,pmadmin,CONTRACT MONITORING,Increase and ensure participation of local businesses through City contracting and purchasing.,KPI12151651486618,"Total Minimum Dollars Awarded to LBE, PUC-LBE, NPE, and SBA Certified Firms",,,Above target is positive,General,0,0,254083940,332683940,2e+08,1.5e+08,2e+08,2e+08,CMD exceeded FY14 target due in large part to the award of 43 contracts at the PUC and 51 at DPW to LBEs as prime contractors. ,,,No,No,No,No,No,No,TRUE,66.34
ADM,ADMINISTRATIVE SERVICES,pmadmin,CONTRACT MONITORING,Increase and ensure participation of local businesses through City contracting and purchasing.,KPI12150851474593,Total number of awarded active CCSF contracts monitored by CMD,This measure represents the total number of contracts monitored by the CMD. ,Calculation: Sum of the total number of awarded active CCSF contracts monitored by CMD at a point in time. ,Above target is positive,General,0,0,752,1410,488,700,760,820,CMD exceeded the FY14 target due to an increase in 14B governed contracts awarded by DPW (75) and the PUC (59) in FY14. ,,,No,No,No,No,No,No,TRUE,188.93
ADM,ADMINISTRATIVE SERVICES,pmadmin,CONTRACT MONITORING,Increase and ensure participation of local businesses through City contracting and purchasing.,KPI12150451458105,"Total Number of LBE, PUC-LBE, NPE, and SBA Certified Firms","This measure captures the total number of LBE, PUC-LBE, SBA and NPE firms that have been certified by the CMD.","Calculation: Sum of the total number of LBE, PUC-LBE, SBA and NPE Certified firms that have been certified at a point in time. Data Source: Excel, LBE Certification Database.",Above target is positive,General,0,0,1411,2843,1500,1500,1525,1550, ,Did not achieve target. CMD did not have a Certification Supervisor until May of 2014. We expect a lot more outreach conducted soon after training is complete. ,,No,No,No,No,No,No,TRUE,89.53
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",COUNTY CLERK SERVICES,Streamline delivery of County Clerk services,ADM.AME.01.7.7,Percentage of customers assisted within ten minutes from the time they are ready to be served,Percentage of customers assisted within 10 minutes from the time they are ready to be served (time from when forms are completed).,Calculation: Number of customers assisted within ten minutes divided by the total number of customers served. Data Source: Q-Matic.,Above target is positive,Percent,0.91,0.9565,0.9553,0.9553,0.9,0.9,0.9,0.9,Dept. was able to achieve average 95.53% between vital records and general office with additional temp employees.,Continued increased demand for marriage services. ,F General Administration & Finance,Yes,No,No,No,Yes,No,TRUE,6.14
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,ADM.XXX.01.47.47,# of employees for whom performance appraisals were scheduled,"New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.",Collection method:  Manager and employee develop a plan for the new fiscal year.  Performance Plan is scheduled for appraisal/review end of fiscal year.  Source: Performance Plan is filed with manager and Human Resources department.  Timing of Performance Appraisal is annual.,Above target is positive,General,48,316,0,0,400,0,537,0, ,,F General Administration & Finance,Yes,No,No,No,No,Yes,FALSE,-100
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,ADM.XXX.01.48.48,# of employees for whom scheduled performance appraisals were completed,"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted amd completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.","Collection method:  Manager and employee meet to discuss Performance Appraisal.  Manager submits Performance Appraisal to Human Resources department for input into database and file.  Source: Performance Plan is filed with manager and Human Resources department.  Timing of Performance Appraisal is annual, after fiscal year closing. ",Above target is positive,General,174,91,0,0,400,0,537,0, ,,F General Administration & Finance,Yes,No,No,No,No,Yes,FALSE,-100
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",DISABILITY ACCESS,Conduct required plan and site reviews in a timely manner,ADM.FAV.01.14.14,Percentage of requests for plan reviews fulfilled within twenty business days,Percentage of requests for review of construction plan documents fulfilled within 20 business days. ,Calculation: The number of requests for plan reviews fulfilled within twenty days divided by the total number of requests received for plan reviews during the reporting period. Data Source: Excel.,Above target is positive,Percent,0.95,0.92,0.87,0.87,0.85,0.9,0.85,0.85,Performance measures met despite limited staff/unfilled vacancy. ,"Staff vacancy was filled at end of fiscal year. If current staffing levels continue, will exceed goals next year.",F General Administration & Finance,Yes,No,No,No,Yes,No,TRUE,2.35
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",DISABILITY ACCESS,Conduct required plan and site reviews in a timely manner,KPI1475308899139,Percentage of requests for site reviews fulfilled within seven business days,Percentage of requests for review of actual construction sites fulfilled within 7 business days. Site reviews are more time sensitive because they are part of the construction process.  ,Calculation: The total number of site requests fulfilled within seven days divided by the total number of requests for site reviews. Data Source: Excel.,Above target is positive,Percent,0.97,0.97,0.96,0.96,0.95,0.96,0.95,0.95,Performance measures met despite limited staff/unfilled vacancy. ,"Staff vacancy was filled at end of fiscal year. If current staffing levels continue, will exceed goals next year.",,No,No,No,No,No,No,TRUE,1.05
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",FLEET MANAGEMENT,Control citywide vehicle costs by reducing the number of vehicles assigned to departments,ADM.FFK.01.45.45,Number of vehicles assigned to departments,"Reduction in general purpose vehicles (light duty autos, pickup trucks and vans used for general passenger transportation, not operations, excluding emergency response vehicles) assigned to departments.  This measures the number of assigned vehicles.",Collection Method: Central Shops vehicle inventory. Timing:  Routinely available.,On target is positive,General,875,888,924,924,890,910,915,915,"MBO approved expansion of fleets at ADP and DBI, increasing the population of vehicles assigned to departments. ",,F General Administration & Finance,Yes,No,No,No,Yes,No,TRUE,96.18
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",FLEET MANAGEMENT,Control citywide vehicle costs by reducing the number of vehicles assigned to departments,ADM.FFJ.01.40.40,Percentage of survey respondents who rate satisfaction with Central Shops as above average or greater.,"Average customer satisfaction rating on a 5-point scale.  Survey to be developed and administered by City Administrator central office, covering all of the internal services functions of the department.  This survey will be conducted annually.",Collection Method: Online survey instrument to be developed. Timing:  Survey to be conducted annually in the 2nd quarter.  Data available within 30 days.,Above target is positive,Percent,NA,NA,NA,NA,NA,NA,NA,NA,,,F General Administration & Finance,Yes,No,No,No,No,No,NA,NA
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",FLEET MANAGEMENT,Transition the general purpose fleet to clean fuel technologies,ADM.FFK.02.46.46,Percentage of the general purpose fleet that is clean fuel,"Percentage of general purpose vehicles that are classified as clean fuel technology.  General purpose vehicles are light duty cars, vans, and pickups, not used for emergency response.",Collection Method: Central Shops vehicle inventory in automated system called MAPCON. Timing:  Routinely available.,Above target is positive,Percent,0.47,0.51,0.51,0.51,0.5,0.51,0.53,0.53,"Older clean vehicles are now being replaced, reducing net gains in the overall percentage of clean fuel vehicles. ",,F General Administration & Finance,Yes,No,No,No,Yes,No,TRUE,2
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",GRANTS FOR THE ARTS,Promote San Francisco as a tourist destination by supporting the arts and cultural community,ADM.FEQ.01.23.23,Number of attendees at programs and events supported by GFTA funding,"Attendance at all programs and events supported by Grants for the Arts (GFTA) funding, including tourist promotion activities.  Grants for the Arts, established in 1961, is an internationally admired model of municipal funding and support of the arts and culture in San Francisco. Providing a stable, dependable base of support to the broadest spectrum of the City's arts community, GFTA fulfills its mission of  ""promoting the City by supporting the arts"" through the funding of nonprofit arts and cultural organizations which help to make San Francisco as a premier destination for regional, national and international visitors. ",Collection Method: Reports submitted by grantees and entered into a database by GFTA staff. Timing:  Data is submitted annually in grant applications and entered during the 6 month application review process. Reports can be generated in mid July. .,Above target is positive,General,9602611,9421838,9694680,9694680,9650000,9650000,9700000,9750000,"In FY 14, GFTA added four new applicants to the roster of grantees and was also able to provide token increases due to a small increase in the agency’s overall budget. It is assumed that these tiny increases in funding helped CBOs modestly increase their marketing effort in hopes of attracting a few more audience members. ",,F General Administration & Finance,Yes,No,No,No,Yes,No,TRUE,0.46
ADM,ADMINISTRATIVE SERVICES,pmadmin,LABOR STANDARDS ENFORCEMENT,Implement and enforce Prevailing Wage requirements,KPI12229357818714,Back wages assessed for violation of prevailing wage requirements,Dollar value of back wages assessed during the fiscal year resulting from violations of prevailing wage requirements.,Calculation: Sum of back wages assessed for violation of prevailing wage requirements during the current reporting period. Data Source: Excel,Above target is positive,General,0,0,603537,789662,0,3e+05,250000,3e+05,"Represents total back wages recovered from 69 contractors/subcontractors. Includes $210,194 assessed against The Robbins Company, the largest single prevailing wage enforcement action ever taken by OLSE.",,,No,No,No,No,No,No,TRUE,Inf
ADM,ADMINISTRATIVE SERVICES,pmadmin,LABOR STANDARDS ENFORCEMENT,Implement and enforce San Francisco labor laws,KPI12146251334968,Percent of MWO claims resolved within one year of filing,Percentage of MWO claims resolved within one year of filing during the reporting period. ,Calculation: (MWO claims filed during the period 12 months prior to the reporting period and resolved within one year of filing) / (MWO claims filed 12 months prior to the reporting period). Data Source: Excel and Access Reporting frequency: Semi-annual report for the calendar year and fiscal year report for the end of year figure. ,Above target is positive,General,0,0,94,190,0,93,93,93,"Of the 62 MWO cases filed in the rolling reporting period (FY2013), 58 were resolved within 365 days. ",,,No,No,No,No,No,No,TRUE,Inf
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",MEDICAL EXAMINER,Complete cases and investigations in a timely manner,KPI146166402315321,Percent of toxicology exams completed within 90 calendar days of submission,The current goal is a standard set by the National Association of Medical Examiners (the Office of the Medical Examiner is accredited by NAME). Cases can be Medical Examiner cases (deaths) or tests of live persons (e.g. DUI). This parameter has the greatest effect on the turnaround time for death certificates.,"Calculation: The sum of toxicology exams completed within 90 days, divided by the total number of toxicology exams in the reporting period. Data Source: Access. ",Above target is positive,Percent,0.81,0.62,0.673,0.673,0.9,0.625,0.9,0.9,"Performance is mainly attributable to the re-assignment of Forensic Laboratory Division personnel's time and efforts to tasks related to the Toxicology Division’s accreditation efforts and staffing vacancies.  In addition, the Laboratory Division has replaced obsolete analytical equipment, which refocuses staff attention to validation and training. That being said, the Office of the Chief Medical Examiner and the City Administrator’s Office have taken the necessary steps to hire Laboratory personnel and modernize laboratory equipment and we anticipate that the improvement trend will continue in the next quarters.",,,No,No,No,No,No,No,FALSE,-25.22
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",MEDICAL EXAMINER,Complete cases and investigations in a timely manner,ADM.ASG.01.8.8,Percentage of all notifications of families completed within 24 hours,"Notification of a family of a death requires a sequence of events to occur: investigation, identification and notification of families, all completed within 24 hours. The Investigative Section is made up of the Medical Examiner's Investigators and Administrator. Their responsibility is to go to the scenes, investigate deaths, and communicate with grieving families.","Calculation: Sum of investigations, identifications and notifications of families completed within 24 hours divided by the total number of investigations, identifications and notifications of families completed in the current reporting period. Data Source: Access.",Above target is positive,Percent,0.94,0.94,0.911,0.911,0.9,0.915,0.9,0.9,"Increased number of cases involving the deaths of infants/children with grieving family members. Notification of these family members proved routinely more difficult. Increased number of unidentified “Doe” cases which unfortunately required more extensive investigations to confirm identity (i.e. dental examination, DNA comparison, medical implant comparison, etc.). Lastly, increased number of deaths with relatives residing outside the United States.",,F General Administration & Finance,Yes,No,No,No,Yes,No,TRUE,1.22
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",MEDICAL EXAMINER,Medical Examiner customer satisfaction,ADM.ASG.02.10.10,Percentage of survey respondents who rate satisfaction with Medical Examiner as above average or greater.,Percentage of survey respondents who rate satisfaction as above average or greater.,Collection Method: Online survey instrument to be developed. Timing:  Survey to be conducted annually in the 2nd quarter.,Above target is positive,Percent,NA,NA,NA,NA,NA,NA,NA,NA,,,F General Administration & Finance,Yes,No,No,No,No,No,NA,NA
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",PROCUREMENT SERVICES,Achieve cost savings and make the purchasing process more efficient,ADM.FCC.01.18.18,Average number of days to convert requisitions not requiring formal bidding into purchase orders,"Number of working days elapsed, from the day a requisition first reaches a Purchasing level approval box in the purchasing system, to the day the requisition is posted as a purchase order, for transactions not requiring Invitation to Bid process. The measure is an average of 90% of all transactions, excluding the slowest 10% because those transactions include rejected documents that would skew the average.","Calculation: The sum of the number of working days elapsed, from the day a requisition first reaches a Purchasing level approval box in the purchasing system, to the day the requisition is posted as a purchase order divided by the total number of requisitions during the reporting period. Data Source: Extracts run by Controller's staff from ADPICS. ",Below target is positive,General,4,6,4.7,4.7,3.8,7.5,7.5,7.5,Tech Store continues to bring average up.,"●Consistent with previous calculation, the slowest 10% of transactions are excluded, assuming issued with specs or other requirements. (In previous years, all transactions that took > 14 days to process were excluded). ●Average processing time for Tech Store transactions is approx. 11 days which is also skewing overall average.",F General Administration & Finance,Yes,No,No,No,No,No,FALSE,-23.68
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",PROCUREMENT SERVICES,Achieve cost savings and make the purchasing process more efficient,ADM.FCC.01.17.17,Percentage of all purchases made through term contracts (excluding professional services),Spending is assumed to be the amount of ADPICS standard vouchers and direct vouchers with post dates within each fiscal year.,Calculation: The sum of total term contract spending divided by the total contract spending amount during the reporting period. Excludes professional services. Data Source: Extracts run by Controller's staff from ADPICS.,Above target is positive,Percent,0.49,0.5,0.71,0.71,0.4,0.5,0.5,0.5, ,"New Term Contracts developed, but larger projects will no longer go through the Tech Store.",F General Administration & Finance,Yes,No,No,No,No,No,TRUE,77.5
