Fiscal.Year,Program,Department,Amount,prev.year.amount,percent.change
2013,Community Services,Adult Probation,10941293.17,8625141.43,0.26853492882377
2012,Community Services,Adult Probation,8625141.43,7783710.46,0.108101524886371
2011,Community Services,Adult Probation,7783710.46,7159296.52,0.0872172200516706
2010,Community Services,Adult Probation,7159296.52,7566653.87,-0.0538358641743976
2009,Community Services,Adult Probation,7566653.87,7992157.35,-0.0532401279611943
2008,Community Services,Adult Probation,7992157.35,8364861.78,-0.0445559579826076
2007,Community Services,Adult Probation,8364861.78,7557589.91,0.10681604580474
2006,Community Services,Adult Probation,7557589.91,7151246.18,0.0568213874578151
2005,Community Services,Adult Probation,7151246.18,6378404.56,0.121165349850433
2004,Community Services,Adult Probation,6378404.56,6407459.71,-0.00453458177109636
2003,Community Services,Adult Probation,6407459.71,6187795.23,0.0354996362735164
2002,Community Services,Adult Probation,6187795.23,5080143.89,0.218035426551668
2001,Community Services,Adult Probation,5080143.89,5552090.85,-0.0850034649559094
2000,Community Services,Adult Probation,5552090.85,4771641.83,0.163559849587453
1999,Community Services,Adult Probation,4771641.83,NA,NA
2016,No Program Defined,Adult Probation,88126,31858,1.76621256827171
2015,No Program Defined,Adult Probation,31858,NA,NA
2011,No Program Defined,Adult Probation,-1137.24,NA,NA
2009,No Program Defined,Adult Probation,-2591.35,-12472.12,-0.792228586639641
2008,No Program Defined,Adult Probation,-12472.12,61080.56,-1.20419131717194
2007,No Program Defined,Adult Probation,61080.56,219159.28,-0.721296036380481
2006,No Program Defined,Adult Probation,219159.28,39929.54,4.48865025742846
2005,No Program Defined,Adult Probation,39929.54,25960.7,0.53807640009707
2004,No Program Defined,Adult Probation,25960.7,45212.2,-0.425803212407271
2003,No Program Defined,Adult Probation,45212.2,61665.59,-0.266816388199643
2002,No Program Defined,Adult Probation,61665.59,56660.66,0.0883316572733179
2001,No Program Defined,Adult Probation,56660.66,77584.43,-0.269690323174379
2000,No Program Defined,Adult Probation,77584.43,93739,-0.172335634047728
1999,No Program Defined,Adult Probation,93739,NA,NA
2016,One Stop Re Entry Services,Adult Probation,806552.86,1505406.86,-0.464229318046286
2015,One Stop Re Entry Services,Adult Probation,1505406.86,777668.3,0.935795582769672
2014,One Stop Re Entry Services,Adult Probation,777668.3,567261.45,0.370916884974292
2013,One Stop Re Entry Services,Adult Probation,567261.45,281698.16,1.01372082089567
2012,One Stop Re Entry Services,Adult Probation,281698.16,NA,NA
2016,Pre - Sentencing Investigation,Adult Probation,1624449.58,2908954.2,-0.441569214118256
2015,Pre - Sentencing Investigation,Adult Probation,2908954.2,2653724.33,0.0961779892186466
2014,Pre - Sentencing Investigation,Adult Probation,2653724.33,2884112.95,-0.0798819685615988
2013,Pre - Sentencing Investigation,Adult Probation,2884112.95,3171659.01,-0.0906610890683358
2012,Pre - Sentencing Investigation,Adult Probation,3171659.01,2623435.07,0.208971796660475
2011,Pre - Sentencing Investigation,Adult Probation,2623435.07,2949402.58,-0.110519842971047
2010,Pre - Sentencing Investigation,Adult Probation,2949402.58,2863631.06,0.0299520148381126
2009,Pre - Sentencing Investigation,Adult Probation,2863631.06,1917683.62,0.493276070220593
2008,Pre - Sentencing Investigation,Adult Probation,1917683.62,1684126.77,0.138681276350711
2007,Pre - Sentencing Investigation,Adult Probation,1684126.77,1527036.74,0.102872462649458
2006,Pre - Sentencing Investigation,Adult Probation,1527036.74,1506415.56,0.013688905337648
2005,Pre - Sentencing Investigation,Adult Probation,1506415.56,1384464.88,0.088085065762015
2004,Pre - Sentencing Investigation,Adult Probation,1384464.88,1642335.42,-0.157014539697378
2003,Pre - Sentencing Investigation,Adult Probation,1642335.42,1523882.6,0.0777309354408272
2002,Pre - Sentencing Investigation,Adult Probation,1523882.6,1786640.03,-0.147067918320402
2001,Pre - Sentencing Investigation,Adult Probation,1786640.03,1730206.88,0.0326164175234352
2000,Pre - Sentencing Investigation,Adult Probation,1730206.88,1819160.02,-0.0488979193814957
1999,Pre - Sentencing Investigation,Adult Probation,1819160.02,NA,NA
2016,Realignment Services-Post Release Comm.,Adult Probation,7935488.77,16868638.21,-0.52957146444129
2015,Realignment Services-Post Release Comm.,Adult Probation,16868638.21,17023255.92,-0.00908273427401996
2014,Realignment Services-Post Release Comm.,Adult Probation,17023255.92,14548434.72,0.170109104355936
2013,Realignment Services-Post Release Comm.,Adult Probation,14548434.72,7300442.4,0.992815492935058
2012,Realignment Services-Post Release Comm.,Adult Probation,7300442.4,NA,NA
2016,Work Orders & Grants,Adult Probation,239965.55,234891.74,0.0216006318485273
2015,Work Orders & Grants,Adult Probation,234891.74,569296.93,-0.587400304442183
2014,Work Orders & Grants,Adult Probation,569296.93,2436557.33,-0.766351924910382
2013,Work Orders & Grants,Adult Probation,2436557.33,1467591.76,0.660241898605372
2012,Work Orders & Grants,Adult Probation,1467591.76,821805.15,0.785814751830163
2011,Work Orders & Grants,Adult Probation,821805.15,142070.34,4.78449484952313
2010,Work Orders & Grants,Adult Probation,142070.34,NA,NA
2016,Administration,Airport Commission,12214388.96,22433634.03,-0.455532307263907
2015,Administration,Airport Commission,22433634.03,23059554.41,-0.0271436459209534
2014,Administration,Airport Commission,23059554.41,38710976.13,-0.40431482966069
2013,Administration,Airport Commission,38710976.13,35170935.15,0.100652455355598
2012,Administration,Airport Commission,35170935.15,38063281.86,-0.0759878436294143
2011,Administration,Airport Commission,38063281.86,40388183.79,-0.0575639137944014
2010,Administration,Airport Commission,40388183.79,47320047.91,-0.146488949740372
2009,Administration,Airport Commission,47320047.91,41517700.82,0.139755983000024
2008,Administration,Airport Commission,41517700.82,25971755.71,0.598571204949933
2007,Administration,Airport Commission,25971755.71,NA,NA
2016,"Administration, Business",Airport Commission,259091264,415187760.06,-0.375966035312414
2015,"Administration, Business",Airport Commission,415187760.06,394721055.26,0.0518510591904421
2014,"Administration, Business",Airport Commission,394721055.26,368838883.41,0.0701720263620618
2013,"Administration, Business",Airport Commission,368838883.41,345762432.86,0.0667407686807425
2012,"Administration, Business",Airport Commission,345762432.86,315182164.09,0.097024109401279
2011,"Administration, Business",Airport Commission,315182164.09,285444007.16,0.104182102913553
2010,"Administration, Business",Airport Commission,285444007.16,672279134.09,-0.575408498217964
2009,"Administration, Business",Airport Commission,672279134.09,641719732.09,0.0476211038430623
2008,"Administration, Business",Airport Commission,641719732.09,641698703.05,0.000032770893723378
2007,"Administration, Business",Airport Commission,641698703.05,914239561.79,-0.298106612457668
2006,"Administration, Business",Airport Commission,914239561.79,938053168.03,-0.0253862009655709
2005,"Administration, Business",Airport Commission,938053168.03,945753100.46,-0.00814158835562361
2004,"Administration, Business",Airport Commission,945753100.46,972269672.73,-0.0272728575350346
2003,"Administration, Business",Airport Commission,972269672.73,902387974.72,0.0774408568905004
2002,"Administration, Business",Airport Commission,902387974.72,785278633.85,0.149130940053527
2001,"Administration, Business",Airport Commission,785278633.85,696679307.17,0.127173759530625
2000,"Administration, Business",Airport Commission,696679307.17,536176780.79,0.299346283036569
1999,"Administration, Business",Airport Commission,536176780.79,NA,NA
2016,Airport Director,Airport Commission,4393834.58,9267477.06,-0.52588665161476
2015,Airport Director,Airport Commission,9267477.06,9682864.29,-0.0428992101468356
2014,Airport Director,Airport Commission,9682864.29,8165543.59,0.185819925308855
2013,Airport Director,Airport Commission,8165543.59,16765218.85,-0.51294739048396
2012,Airport Director,Airport Commission,16765218.85,7146453.44,1.34594949659394
2011,Airport Director,Airport Commission,7146453.44,6761383.96,0.0569512813172646
2010,Airport Director,Airport Commission,6761383.96,7058597.77,-0.0421066364290085
2009,Airport Director,Airport Commission,7058597.77,8423747.85,-0.16205970362705
2008,Airport Director,Airport Commission,8423747.85,8738657.92,-0.0360364340706451
2007,Airport Director,Airport Commission,8738657.92,NA,NA
2009,Branch Program,Airport Commission,25000,NA,NA
2016,Bureau Of Design And Construction,Airport Commission,5030607.88,6679382.27,-0.246845340385047
2015,Bureau Of Design And Construction,Airport Commission,6679382.27,6555570.48,0.0188865012400874
2014,Bureau Of Design And Construction,Airport Commission,6555570.48,6224514.14,0.0531858925136925
2013,Bureau Of Design And Construction,Airport Commission,6224514.14,5059864.63,0.230174045189822
2012,Bureau Of Design And Construction,Airport Commission,5059864.63,1472391.29,2.43649454079561
2011,Bureau Of Design And Construction,Airport Commission,1472391.29,9706929.73,-0.848315447731175
2010,Bureau Of Design And Construction,Airport Commission,9706929.73,69992288.86,-0.861314297787632
2009,Bureau Of Design And Construction,Airport Commission,69992288.86,19757694.74,2.54253316396769
2008,Bureau Of Design And Construction,Airport Commission,19757694.74,11302551.22,0.748073895479326
2007,Bureau Of Design And Construction,Airport Commission,11302551.22,NA,NA
2016,Business & Finance,Airport Commission,269433403.03,436244866.87,-0.382380347617269
2015,Business & Finance,Airport Commission,436244866.87,386886945.58,0.127577117434152
2014,Business & Finance,Airport Commission,386886945.58,373416122.09,0.0360745631833038
2013,Business & Finance,Airport Commission,373416122.09,374089356.61,-0.00179966232159283
2012,Business & Finance,Airport Commission,374089356.61,351747757.67,0.0635159669189994
2011,Business & Finance,Airport Commission,351747757.67,318323586.83,0.105000610142817
2010,Business & Finance,Airport Commission,318323586.83,287436355.17,0.107457637506335
2009,Business & Finance,Airport Commission,287436355.17,301581409.38,-0.0469029382118739
2008,Business & Finance,Airport Commission,301581409.38,291947256.35,0.0329996354493912
2007,Business & Finance,Airport Commission,291947256.35,NA,NA
2016,Capital Projects And Grants,Airport Commission,191514690.51,422395147.57,-0.546598270335807
2015,Capital Projects And Grants,Airport Commission,422395147.57,620581464.78,-0.319355843604285
2014,Capital Projects And Grants,Airport Commission,620581464.78,381206889.45,0.62793874390719
2013,Capital Projects And Grants,Airport Commission,381206889.45,188696010.52,1.02021700617563
2012,Capital Projects And Grants,Airport Commission,188696010.52,328495887.61,-0.425575729751523
2011,Capital Projects And Grants,Airport Commission,328495887.61,736567523.73,-0.554017958942193
2010,Capital Projects And Grants,Airport Commission,736567523.73,NA,NA
2016,Chief Operating Officer,Airport Commission,18259597.41,26909085.33,-0.321433739345907
2015,Chief Operating Officer,Airport Commission,26909085.33,21932076.52,0.226928298625141
2014,Chief Operating Officer,Airport Commission,21932076.52,4072627.81,4.38523959055321
2013,Chief Operating Officer,Airport Commission,4072627.81,4153719.11,-0.019522576720408
2012,Chief Operating Officer,Airport Commission,4153719.11,3706498.13,0.120658628256208
2011,Chief Operating Officer,Airport Commission,3706498.13,3621433.93,0.0234890934486827
2010,Chief Operating Officer,Airport Commission,3621433.93,3671025.83,-0.0135090032858746
2009,Chief Operating Officer,Airport Commission,3671025.83,3159695.11,0.161829132938083
2008,Chief Operating Officer,Airport Commission,3159695.11,2992304.64,0.0559403169591716
2007,Chief Operating Officer,Airport Commission,2992304.64,NA,NA
2009,City Capital Projects,Airport Commission,-25000,38777.19,-1.64470891263653
2008,City Capital Projects,Airport Commission,38777.19,38516.33,0.00677271173032323
2007,City Capital Projects,Airport Commission,38516.33,135964.58,-0.716717912856422
2006,City Capital Projects,Airport Commission,135964.58,186760.05,-0.271982525170667
2005,City Capital Projects,Airport Commission,186760.05,243449.36,-0.232858734974699
2004,City Capital Projects,Airport Commission,243449.36,542647,-0.551366984430025
2003,City Capital Projects,Airport Commission,542647,353316.15,0.535868088679218
2002,City Capital Projects,Airport Commission,353316.15,NA,NA
2013,Clean Air,Airport Commission,82031.34,NA,NA
2011,Clean Air,Airport Commission,202546.86,65968.32,2.07036559366678
2010,Clean Air,Airport Commission,65968.32,200564.06,-0.671086036052521
2009,Clean Air,Airport Commission,200564.06,497350.06,-0.596734621887851
2008,Clean Air,Airport Commission,497350.06,13397.5,36.122601977981
2007,Clean Air,Airport Commission,13397.5,94340,-0.857987068051728
2006,Clean Air,Airport Commission,94340,1711886,-0.944891190184393
2005,Clean Air,Airport Commission,1711886,270692,5.32411005866446
2004,Clean Air,Airport Commission,270692,35900,6.54016713091922
2003,Clean Air,Airport Commission,35900,NA,NA
2016,Communications & Marketing,Airport Commission,3746194.53,7565190.64,-0.504811615692476
2015,Communications & Marketing,Airport Commission,7565190.64,7443805.63,0.0163068484097428
2014,Communications & Marketing,Airport Commission,7443805.63,5778670.45,0.288151953707621
2013,Communications & Marketing,Airport Commission,5778670.45,6241285.21,-0.0741217144281089
2012,Communications & Marketing,Airport Commission,6241285.21,5531540.47,0.128308695172576
2011,Communications & Marketing,Airport Commission,5531540.47,6657728.65,-0.169155013549554
2010,Communications & Marketing,Airport Commission,6657728.65,6418749.6,0.0372314025149074
2009,Communications & Marketing,Airport Commission,6418749.6,4889142.21,0.312858027911608
2008,Communications & Marketing,Airport Commission,4889142.21,4725561.18,0.034616212502406
2007,Communications & Marketing,Airport Commission,4725561.18,NA,NA
2016,"Continuing Projects, Maint And Renewal",Airport Commission,5603997.53,10067386.4,-0.443351302181071
2015,"Continuing Projects, Maint And Renewal",Airport Commission,10067386.4,10770142.1,-0.0652503647096726
2014,"Continuing Projects, Maint And Renewal",Airport Commission,10770142.1,7286831.02,0.478028249926399
2013,"Continuing Projects, Maint And Renewal",Airport Commission,7286831.02,5377514.94,0.355055467312193
2012,"Continuing Projects, Maint And Renewal",Airport Commission,5377514.94,4247614.11,0.266008352157018
2011,"Continuing Projects, Maint And Renewal",Airport Commission,4247614.11,4349156.16,-0.0233475290986102
2010,"Continuing Projects, Maint And Renewal",Airport Commission,4349156.16,NA,NA
2002,DPW Bureau Overhead Program,Airport Commission,7853.37,NA,NA
2016,Departmental Fund Transfer,Airport Commission,0,33693.14,-1
2015,Departmental Fund Transfer,Airport Commission,33693.14,161217.89,-0.791008677759025
2014,Departmental Fund Transfer,Airport Commission,161217.89,0,Inf
2013,Departmental Fund Transfer,Airport Commission,0,0,NaN
2012,Departmental Fund Transfer,Airport Commission,0,0,NaN
2011,Departmental Fund Transfer,Airport Commission,0,0,NaN
2010,Departmental Fund Transfer,Airport Commission,0,-11755038.53,-1
2009,Departmental Fund Transfer,Airport Commission,-11755038.53,-7428096.92,0.582510117544347
2008,Departmental Fund Transfer,Airport Commission,-7428096.92,-36159246.62,-0.794572685707134
2007,Departmental Fund Transfer,Airport Commission,-36159246.62,-10683131.33,2.38470486817464
2006,Departmental Fund Transfer,Airport Commission,-10683131.33,-6914978.71,0.544926134703891
2005,Departmental Fund Transfer,Airport Commission,-6914978.71,-3891836.78,0.776790523573807
2004,Departmental Fund Transfer,Airport Commission,-3891836.78,-40076011.95,-0.902888621131874
2003,Departmental Fund Transfer,Airport Commission,-40076011.95,-52526642.54,-0.237034578795296
2002,Departmental Fund Transfer,Airport Commission,-52526642.54,-106933631.84,-0.508792120531422
2001,Departmental Fund Transfer,Airport Commission,-106933631.84,-95121968.05,0.124173879411234
2000,Departmental Fund Transfer,Airport Commission,-95121968.05,-55821933.25,0.704024968536897
1999,Departmental Fund Transfer,Airport Commission,-55821933.25,NA,NA
2016,Facilities,Airport Commission,92052446.44,166070646.13,-0.445703087299718
2015,Facilities,Airport Commission,166070646.13,159078013.15,0.0439572562011219
2014,Facilities,Airport Commission,159078013.15,150227657.99,0.0589129543681572
2013,Facilities,Airport Commission,150227657.99,143828115.84,0.0444943751965652
2012,Facilities,Airport Commission,143828115.84,134310989.01,0.0708588842964398
2011,Facilities,Airport Commission,134310989.01,142943196.68,-0.0603890767136298
2010,Facilities,Airport Commission,142943196.68,157804402.22,-0.0941748476654126
2009,Facilities,Airport Commission,157804402.22,373770591.69,-0.577804124432345
2008,Facilities,Airport Commission,373770591.69,118508123.88,2.15396598522204
2007,Facilities,Airport Commission,118508123.88,NA,NA
2011,"Facilities Maintenance,Construction",Airport Commission,26008.83,88985.42,-0.707718073365277
2010,"Facilities Maintenance,Construction",Airport Commission,88985.42,36537530.67,-0.997564547511333
2009,"Facilities Maintenance,Construction",Airport Commission,36537530.67,-147851956.36,-1.24712240249994
2008,"Facilities Maintenance,Construction",Airport Commission,-147851956.36,141084658.11,-2.04796622354731
2007,"Facilities Maintenance,Construction",Airport Commission,141084658.11,281729347.96,-0.499219165019218
2006,"Facilities Maintenance,Construction",Airport Commission,281729347.96,189560244.54,0.486225915374101
2005,"Facilities Maintenance,Construction",Airport Commission,189560244.54,226776644.07,-0.164110372488413
2004,"Facilities Maintenance,Construction",Airport Commission,226776644.07,221567416.72,0.0235108005821227
2003,"Facilities Maintenance,Construction",Airport Commission,221567416.72,543288831.55,-0.592173805436292
2002,"Facilities Maintenance,Construction",Airport Commission,543288831.55,1090327681.55,-0.50171967497178
2001,"Facilities Maintenance,Construction",Airport Commission,1090327681.55,1185529536.78,-0.0803032335141783
2000,"Facilities Maintenance,Construction",Airport Commission,1185529536.78,1756896870.54,-0.325213928797303
1999,"Facilities Maintenance,Construction",Airport Commission,1756896870.54,NA,NA
2003,Federal Transportation Security,Airport Commission,4059754,NA,NA
2016,Fire Airport Bureau Non-Personnel Cost,Airport Commission,415991.91,580449.92,-0.283328508340565
2015,Fire Airport Bureau Non-Personnel Cost,Airport Commission,580449.92,954168.16,-0.391669158191152
2014,Fire Airport Bureau Non-Personnel Cost,Airport Commission,954168.16,591098.44,0.614228858394551
2013,Fire Airport Bureau Non-Personnel Cost,Airport Commission,591098.44,573175.71,0.0312691722403938
2012,Fire Airport Bureau Non-Personnel Cost,Airport Commission,573175.71,470359,0.218591990373311
2011,Fire Airport Bureau Non-Personnel Cost,Airport Commission,470359,524257.15,-0.102808612147684
2010,Fire Airport Bureau Non-Personnel Cost,Airport Commission,524257.15,713277.59,-0.265002633827315
2009,Fire Airport Bureau Non-Personnel Cost,Airport Commission,713277.59,509288.73,0.400536764283003
2008,Fire Airport Bureau Non-Personnel Cost,Airport Commission,509288.73,543331.01,-0.0626547709838981
2007,Fire Airport Bureau Non-Personnel Cost,Airport Commission,543331.01,NA,NA
2003,General Management,Airport Commission,8902.83,34809.64,-0.744242399519214
2002,General Management,Airport Commission,34809.64,NA,NA
2009,Hetch Hetchy Capital Projects,Airport Commission,6384.65,3638611.68,-0.998245306022873
2008,Hetch Hetchy Capital Projects,Airport Commission,3638611.68,2215037.85,0.642686006471627
2007,Hetch Hetchy Capital Projects,Airport Commission,2215037.85,NA,NA
2004,Hetch Hetchy Capital Projects,Airport Commission,39548.47,113784.29,-0.652425919254758
2003,Hetch Hetchy Capital Projects,Airport Commission,113784.29,NA,NA
2003,MRD-Construction Division (Const),Airport Commission,6390.18,60932.24,-0.895126455223048
2002,MRD-Construction Division (Const),Airport Commission,60932.24,NA,NA
2005,Maintenance,Airport Commission,29807.53,67447.99,-0.558066444974861
2004,Maintenance,Airport Commission,67447.99,49944.82,0.350450156793037
2003,Maintenance,Airport Commission,49944.82,3753.47,12.3063058982755
2002,Maintenance,Airport Commission,3753.47,NA,NA
2016,No Program Defined,Airport Commission,470588035.53,680132279.52,-0.308093366981324
2015,No Program Defined,Airport Commission,680132279.52,878464632,-0.225771585167244
2014,No Program Defined,Airport Commission,878464632,553669159.04,0.58662374029133
2013,No Program Defined,Airport Commission,553669159.04,360272275.2,0.536807567922451
2012,No Program Defined,Airport Commission,360272275.2,322663026.69,0.116558903249033
2011,No Program Defined,Airport Commission,322663026.69,363768637.59,-0.112999326089045
2010,No Program Defined,Airport Commission,363768637.59,82129515.55,3.42920715109466
2009,No Program Defined,Airport Commission,82129515.55,22199696.15,2.69957836337323
2008,No Program Defined,Airport Commission,22199696.15,4892522.45,3.53747455977438
2007,No Program Defined,Airport Commission,4892522.45,-8039154.28,-1.60858670944676
2006,No Program Defined,Airport Commission,-8039154.28,39311956.21,-1.20449641928414
2005,No Program Defined,Airport Commission,39311956.21,39683173.23,-0.00935451955539099
2004,No Program Defined,Airport Commission,39683173.23,16475356.43,1.40863822270581
2003,No Program Defined,Airport Commission,16475356.43,360448.880000001,44.7078863166393
2002,No Program Defined,Airport Commission,360448.880000001,11167032.5,-0.967722053284971
2001,No Program Defined,Airport Commission,11167032.5,-662961.31,-17.8441692321381
2000,No Program Defined,Airport Commission,-662961.31,1034835.57,-1.64064410735321
1999,No Program Defined,Airport Commission,1034835.57,NA,NA
2000,Operations & Maintenance,Airport Commission,45650.38,NA,NA
2016,Operations And Security,Airport Commission,34893298.21,60926692.22,-0.427290454502209
2015,Operations And Security,Airport Commission,60926692.22,57520939.14,0.0592089268867942
2014,Operations And Security,Airport Commission,57520939.14,56178892.14,0.0238888121299289
2013,Operations And Security,Airport Commission,56178892.14,54702802.2,0.0269838085186796
2012,Operations And Security,Airport Commission,54702802.2,48239598.45,0.133981292499751
2011,Operations And Security,Airport Commission,48239598.45,50631389.58,-0.0472392946320553
2010,Operations And Security,Airport Commission,50631389.58,43902092.97,0.153279630987033
2009,Operations And Security,Airport Commission,43902092.97,46334368.1,-0.0524939743378091
2008,Operations And Security,Airport Commission,46334368.1,30134852.48,0.537567443900757
2007,Operations And Security,Airport Commission,30134852.48,NA,NA
2015,Planning And Research,Airport Commission,34028.44,46014.08,-0.260477662489395
2014,Planning And Research,Airport Commission,46014.08,-0.01,-4601409
2013,Planning And Research,Airport Commission,-0.01,79726.81,-1.00000012542832
2012,Planning And Research,Airport Commission,79726.81,NA,NA
2007,Planning And Research,Airport Commission,51710.28,NA,NA
2016,Planning Division,Airport Commission,2273405.42,5548491.74,-0.590266053094998
2015,Planning Division,Airport Commission,5548491.74,3358589.91,0.652030134277394
2014,Planning Division,Airport Commission,3358589.91,3219350.2,0.0432508740428427
2013,Planning Division,Airport Commission,3219350.2,3516871.48,-0.0845982805149309
2012,Planning Division,Airport Commission,3516871.48,3243457.62,0.0842970348414788
2011,Planning Division,Airport Commission,3243457.62,2311686.77,0.403069681451696
2010,Planning Division,Airport Commission,2311686.77,7188093.29,-0.678400560936515
2009,Planning Division,Airport Commission,7188093.29,2436627.41,1.95001741361844
2008,Planning Division,Airport Commission,2436627.41,NA,NA
2016,Police Airport Bureau Non-Personnel Cost,Airport Commission,587309.16,2419361.21,-0.757246186484076
2015,Police Airport Bureau Non-Personnel Cost,Airport Commission,2419361.21,2777733.72,-0.12901614989935
2014,Police Airport Bureau Non-Personnel Cost,Airport Commission,2777733.72,2870894.41,-0.0324500579594634
2013,Police Airport Bureau Non-Personnel Cost,Airport Commission,2870894.41,2053265.82,0.398208834937894
2012,Police Airport Bureau Non-Personnel Cost,Airport Commission,2053265.82,3162334.91,-0.350712091402109
2011,Police Airport Bureau Non-Personnel Cost,Airport Commission,3162334.91,1979364.4,0.597651705769791
2010,Police Airport Bureau Non-Personnel Cost,Airport Commission,1979364.4,1994407.67,-0.00754272570562267
2009,Police Airport Bureau Non-Personnel Cost,Airport Commission,1994407.67,1690652.53,0.179667397416073
2008,Police Airport Bureau Non-Personnel Cost,Airport Commission,1690652.53,1443817.44,0.170960041873438
2007,Police Airport Bureau Non-Personnel Cost,Airport Commission,1443817.44,NA,NA
2011,Safety & Security,Airport Commission,6714,2850,1.35578947368421
2010,Safety & Security,Airport Commission,2850,6522070.56,-0.999563022206862
2009,Safety & Security,Airport Commission,6522070.56,8371578.92,-0.22092706497474
2008,Safety & Security,Airport Commission,8371578.92,16142425.07,-0.481392734753453
2007,Safety & Security,Airport Commission,16142425.07,33661862.64,-0.520453599296132
2006,Safety & Security,Airport Commission,33661862.64,28801214.77,0.168765377044546
2005,Safety & Security,Airport Commission,28801214.77,28534979.02,0.00933015404754273
2004,Safety & Security,Airport Commission,28534979.02,48697067.93,-0.414030859906846
2003,Safety & Security,Airport Commission,48697067.93,50053256.78,-0.0270949172390696
2002,Safety & Security,Airport Commission,50053256.78,55575137.68,-0.0993588343729317
2001,Safety & Security,Airport Commission,55575137.68,45440967.99,0.223018349702193
2000,Safety & Security,Airport Commission,45440967.99,39956252.27,0.137268022109222
1999,Safety & Security,Airport Commission,39956252.27,NA,NA
2003,Wastewater Operations,Airport Commission,52874.79,NA,NA
2006,Water Capital Projects,Airport Commission,-364812,NA,NA
2004,Water Capital Projects,Airport Commission,79159.49,365861.43,-0.783635323351795
2003,Water Capital Projects,Airport Commission,365861.43,445145.29,-0.178107826323401
2002,Water Capital Projects,Airport Commission,445145.29,309.52,1437.17940682347
2001,Water Capital Projects,Airport Commission,309.52,NA,NA
2003,Water Facilities Maintenance Projects,Airport Commission,67288.34,31702.47,1.12249518728351
2002,Water Facilities Maintenance Projects,Airport Commission,31702.47,NA,NA
2010,Architecture,Arts Commission,4781.83,NA,NA
2006,Architecture,Arts Commission,47609.97,NA,NA
2004,Architecture,Arts Commission,-65836.37,NA,NA
2000,Architecture,Arts Commission,19974.26,NA,NA
2016,Art Commission-Administration,Arts Commission,1472303.5,2034278.89,-0.276252874058974
