Fiscal.Year,Program,Department,Amount,prev.year.amount,percent.change
2014,Board - Legislative Analysis,Board of Supervisors,2000000,2000000,0
2013,Board - Legislative Analysis,Board of Supervisors,2000000,2050000,-0.024390243902439
2012,Board - Legislative Analysis,Board of Supervisors,2050000,2050000,0
2011,Board - Legislative Analysis,Board of Supervisors,2050000,2208078,-0.0715907680797508
2010,Board - Legislative Analysis,Board of Supervisors,2208078,NA,NA
2017,Board Of Supervisor,Board of Supervisors,7513695,7312361,0.0275333780703661
2016,Board Of Supervisor,Board of Supervisors,7312361,6982970,0.0471706165141766
2015,Board Of Supervisor,Board of Supervisors,6982970,6592094,0.0592946641840969
2014,Board Of Supervisor,Board of Supervisors,6592094,6126281,0.0760351998218821
2013,Board Of Supervisor,Board of Supervisors,6126281,4942952,0.239397226596576
2012,Board Of Supervisor,Board of Supervisors,4942952,4772672,0.0356781274724096
2011,Board Of Supervisor,Board of Supervisors,4772672,4910935,-0.0281541091462216
2010,Board Of Supervisor,Board of Supervisors,4910935,NA,NA
2017,Children's Baseline,Board of Supervisors,284345,277802,0.0235527462005313
2016,Children's Baseline,Board of Supervisors,277802,275558,0.00814347614658257
2015,Children's Baseline,Board of Supervisors,275558,266905,0.032419774826249
2014,Children's Baseline,Board of Supervisors,266905,175530,0.520566284965533
2013,Children's Baseline,Board of Supervisors,175530,169933,0.0329365102716953
2012,Children's Baseline,Board of Supervisors,169933,159683,0.0641896757951692
2011,Children's Baseline,Board of Supervisors,159683,199597,-0.199972945485153
2010,Children's Baseline,Board of Supervisors,199597,NA,NA
2017,Clerk Of The Board,Board of Supervisors,4917311,5221856,-0.0583212175900676
2016,Clerk Of The Board,Board of Supervisors,5221856,4390593,0.18932818414278
2015,Clerk Of The Board,Board of Supervisors,4390593,4331861,0.0135581451020704
2014,Clerk Of The Board,Board of Supervisors,4331861,4409943,-0.0177058977859805
2013,Clerk Of The Board,Board of Supervisors,4409943,3853492,0.144401753007402
2012,Clerk Of The Board,Board of Supervisors,3853492,3615126,0.0659357377861795
2011,Clerk Of The Board,Board of Supervisors,3615126,3428955,0.0542938008810264
2010,Clerk Of The Board,Board of Supervisors,3428955,NA,NA
2017,General Fund,Board of Supervisors,13768701,13990285,-0.0158384193031093
2016,General Fund,Board of Supervisors,13990285,12994121,0.0766626692178717
2015,General Fund,Board of Supervisors,12994121,12254860,0.0603239041490478
2014,General Fund,Board of Supervisors,12254860,11781254,0.0401999651310463
2013,General Fund,Board of Supervisors,11781254,10235877,0.150976511343386
2012,General Fund,Board of Supervisors,10235877,9977811,0.0258639896065379
2011,General Fund,Board of Supervisors,9977811,10446998,-0.0449111792689153
2010,General Fund,Board of Supervisors,10446998,NA,NA
2016,Local Agency Formation,Board of Supervisors,134053,NA,NA
2013,Local Agency Formation,Board of Supervisors,0,0,NaN
2012,Local Agency Formation,Board of Supervisors,0,830,-1
2011,Local Agency Formation,Board of Supervisors,830,29433,-0.971800360139979
2010,Local Agency Formation,Board of Supervisors,29433,NA,NA
2017,Child Support Services Program,Child Support Services,25759514,25759514,0
2016,Child Support Services Program,Child Support Services,25759514,25882844,-0.00476493232351128
2015,Child Support Services Program,Child Support Services,25882844,26549962,-0.0251268909537422
2014,Child Support Services Program,Child Support Services,26549962,25689030,0.0335136048344371
2013,Child Support Services Program,Child Support Services,25689030,26290354,-0.022872419291121
2012,Child Support Services Program,Child Support Services,26290354,28982986,-0.0929038850586341
2011,Child Support Services Program,Child Support Services,28982986,30024218,-0.0346797375372108
2010,Child Support Services Program,Child Support Services,30024218,NA,NA
2017,Children and Families Fund,Children and Families Commission,18292242,23804578,-0.231566213860208
